"","GEOID","percent","pop_size","demographic","percent_final"
"44123","6037543100",0.035,262.605,"Asian",0.035
"44124","6037543201",0.015,52.935,"Asian",0.015
"44125","6037543203",0.005,21.645,"Asian",0.005
"44126","6037543304",0.03,206.58,"Asian",0.03
"44127","6037543305",0.015,57.03,"Asian",0.015
"44128","6037543306",0.238,1667.428,"Asian",0.238
"44129","6037543321",0.252,1468.908,"Asian",0.252
"44130","6037543322",0.055,381.535,"Asian",0.055
"44131","6037543400",0.145,544.475,"Asian",0.145
"44132","6037543501",0.482,2957.552,"Asian",0.482
"44133","6037543502",0.288,1378.368,"Asian",0.288
"44134","6037543503",0.406,2387.28,"Asian",0.406
"44135","6037543601",0.404,1919.808,"Asian",0.404
"44136","6037543603",0.281,1099.834,"Asian",0.281
"44137","6037543605",0.37,1426.35,"Asian",0.37
"44138","6037543606",0.367,1317.163,"Asian",0.367
"44139","6037543607",0.458,2480.07,"Asian",0.458
"44140","6037543701",0.338,1117.766,"Asian",0.338
"44141","6037543703",0.262,1012.368,"Asian",0.262
"44142","6037543704",0.217,654.906,"Asian",0.217
"44143","6037543705",0.269,925.36,"Asian",0.269
"44144","6037543801",0.354,1710.174,"Asian",0.354
"44145","6037543803",0.49,2047.22,"Asian",0.49
"44146","6037543804",0.666,2488.842,"Asian",0.666
"44147","6037980023",NA,NA,"Asian",NA
"44148","6037980024",0.085,17,"Asian",0.085
"44149","6037980025",0.071,31.524,"Asian",0.071
"44150","6037980026",0,0,"Asian",0
"44151","6037980028",NA,NA,"Asian",NA
"44152","6037980030",NA,NA,"Asian",NA
"44153","6037980031",0.03,34.8,"Asian",0.03
"44154","6037980033",0,0,"Asian",0
"44155","6037980034",0,0,"Asian",0
"44156","6037980035",0.08,50.32,"Asian",0.08
"44157","6037980036",0.688,354.32,"Asian",0.688
"44158","6037980037",NA,NA,"Asian",NA
"44159","6037980038",NA,NA,"Asian",NA
"44160","6037980039",NA,NA,"Asian",NA
"44161","6037990100",NA,NA,"Asian",NA
"44162","6037990200",NA,NA,"Asian",NA
"44163","6037990300",NA,NA,"Asian",NA
"44164","6039000102",0.011,44.077,"Asian",0.011
"44165","6039000103",0.006,24.258,"Asian",0.006
"44166","6039000104",0.054,215.676,"Asian",0.054
"44167","6039000106",0.014,77.154,"Asian",0.014
"44168","6039000109",0.012,25.692,"Asian",0.012
"44169","6039000110",0,0,"Asian",0
"44170","6039000111",0,0,"Asian",0
"44171","6039000201",0.031,265.732,"Asian",0.031
"44172","6039000203",0.012,18.48,"Asian",0.012
"44173","6039000204",0.11,509.85,"Asian",0.11
"44174","6039000301",0,0,"Asian",0
"44175","6039000302",0,0,"Asian",0
"44176","6039000506",0.003,21.069,"Asian",0.003
"44177","6039000509",0.057,294.006,"Asian",0.057
"44178","6039000510",0,0,"Asian",0
"44179","6039000511",0.013,85.189,"Asian",0.013
"44180","6039000512",0,0,"Asian",0
"44181","6039000513",0.124,444.292,"Asian",0.124
"44182","6039000514",0,0,"Asian",0
"44183","6039000515",0.021,79.17,"Asian",0.021
"44184","6039000516",0.005,13.68,"Asian",0.005
"44185","6039000517",0.03,79.65,"Asian",0.03
