"","GEOID","demographic","percent","pop_size"
"575","37021000100","Other",0.151,211.4
"576","37021000100","White",0.603,844.2
"577","37021000200","Asian",0.026,35.412
"578","37021000200","Black",0.206,280.572
"579","37021000200","Other",0.072,98.064
"580","37021000200","White",0.695,946.59
"581","37021000300","Asian",0.014,35
"582","37021000300","Black",0.165,412.5
"583","37021000300","Other",0.102,255
"584","37021000300","White",0.718,1795
"585","37021000400","Asian",0.016,66.88
"586","37021000400","Black",0.031,129.58
"587","37021000400","Other",0.105,438.9
"588","37021000400","White",0.848,3544.64
"589","37021000500","Asian",0.012,45.312
"590","37021000500","Black",0.025,94.4
"591","37021000500","Other",0.085,320.96
"592","37021000500","White",0.878,3315.328
"593","37021000600","Asian",0,0
"594","37021000600","Black",0.037,72.372
"595","37021000600","Other",0.101,197.556
"596","37021000600","White",0.861,1684.116
"597","37021000700","Asian",0.015,24.84
"598","37021000700","Black",0.3,496.8
"599","37021000700","Other",0.013,21.528
"600","37021000700","White",0.671,1111.176
"601","37021000800","Asian",0,0
"602","37021000800","Black",0.281,968.326
"603","37021000800","Other",0.089,306.694
"604","37021000800","White",0.629,2167.534
"605","37021000900","Asian",0,0
"606","37021000900","Black",0.474,1439.538
"607","37021000900","Other",0.009,27.333
"608","37021000900","White",0.517,1570.129
"609","37021001000","Asian",0.018,89.532
"610","37021001000","Black",0.097,482.478
"611","37021001000","Other",0.079,392.946
"612","37021001000","White",0.806,4009.044
"613","37021001100","Asian",0.019,101.118
"614","37021001100","Black",0.121,643.962
"615","37021001100","Other",0.047,250.134
"616","37021001100","White",0.814,4332.108
"617","37021001200","Asian",0,0
"618","37021001200","Black",0.032,151.808
"619","37021001200","Other",0.037,175.528
"620","37021001200","White",0.931,4416.664
"621","37021001300","Asian",0.007,33.46
"622","37021001300","Black",0.071,339.38
"623","37021001300","Other",0.15,717
"624","37021001300","White",0.771,3685.38
"625","37021001401","Asian",0.001,4.977
"626","37021001401","Black",0.117,582.309
"627","37021001401","Other",0.167,831.159
"628","37021001401","White",0.715,3558.555
"629","37021001402","Asian",0.035,97.755
"630","37021001402","Black",0.089,248.577
"631","37021001402","Other",0.265,740.145
"632","37021001402","White",0.612,1709.316
"633","37021001500","Asian",0.039,118.911
"634","37021001500","Black",0.016,48.784
"635","37021001500","Other",0.195,594.555
"636","37021001500","White",0.75,2286.75
"637","37021001601","Asian",0.011,49.423
"638","37021001601","Black",0.006,26.958
"639","37021001601","Other",0.086,386.398
"640","37021001601","White",0.898,4034.714
"641","37021001602","Asian",0,0
"642","37021001602","Black",0.006,20.184
"643","37021001602","Other",0.11,370.04
"644","37021001602","White",0.884,2973.776
"645","37021001700","Asian",0.006,17.838
"646","37021001700","Black",0.039,115.947
"647","37021001700","Other",0.025,74.325
"648","37021001700","White",0.93,2764.89
"649","37021001801","Asian",0.005,16.14
"650","37021001801","Black",0.12,387.36
"651","37021001801","Other",0.058,187.224
"652","37021001801","White",0.818,2640.504
"653","37021001802","Asian",0.003,16.146
"654","37021001802","Black",0.062,333.684
"655","37021001802","Other",0.078,419.796
"656","37021001802","White",0.857,4612.374
"657","37021001900","Asian",0,0
"658","37021001900","Black",0.043,169.506
"659","37021001900","Other",0.099,390.258
"660","37021001900","White",0.858,3382.236
"661","37021002000","Asian",0.016,111.536
"662","37021002000","Black",0.226,1575.446
"663","37021002000","Other",0.049,341.579
"664","37021002000","White",0.71,4949.41
"665","37021002101","Asian",0.014,22.932
"666","37021002101","Black",0,0
"667","37021002101","Other",0.017,27.846
"668","37021002101","White",0.968,1585.584
"669","37021002102","Asian",0.003,16.653
"670","37021002102","Black",0.144,799.344
"671","37021002102","Other",0.263,1459.913
"672","37021002102","White",0.591,3280.641
"673","37021002203","Asian",0.005,28.81
"674","37021002203","Black",0.194,1117.828
"675","37021002203","Other",0.242,1394.404
"676","37021002203","White",0.559,3220.958
"677","37021002204","Asian",0.036,321.984
"678","37021002204","Black",0.038,339.872
"679","37021002204","Other",0.049,438.256
"680","37021002204","White",0.878,7852.832
"681","37021002205","Asian",0.06,410.64
"682","37021002205","Black",0.012,82.128
"683","37021002205","Other",0.096,657.024
"684","37021002205","White",0.833,5701.052
"685","37021002206","Asian",0.103,475.757
"686","37021002206","Black",0.02,92.38
"687","37021002206","Other",0.064,295.616
"688","37021002206","White",0.813,3755.247
"689","37021002303","Asian",0.035,238.805
"690","37021002303","Black",0.088,600.424
"691","37021002303","Other",0.059,402.557
"692","37021002303","White",0.818,5581.214
"693","37021002304","Asian",0.042,64.722
"694","37021002304","Black",0.153,235.773
"695","37021002304","Other",0.043,66.263
"696","37021002304","White",0.761,1172.701
"697","37021002305","Asian",0.006,33.612
"698","37021002305","Black",0.006,33.612
"699","37021002305","Other",0.065,364.13
"700","37021002305","White",0.923,5170.646
"701","37021002306","Asian",0.032,125.728
"702","37021002306","Black",0.021,82.509
"703","37021002306","Other",0.173,679.717
"704","37021002306","White",0.774,3041.046
"705","37021002401","Asian",0,0
"706","37021002401","Black",0.003,10.314
"707","37021002401","Other",0.092,316.296
"708","37021002401","White",0.904,3107.952
"709","37021002402","Asian",0.011,56.562
"710","37021002402","Black",0.041,210.822
"711","37021002402","Other",0.171,879.282
"712","37021002402","White",0.778,4000.476
"713","37021002503","Asian",0,0
"714","37021002503","Black",0,0
"715","37021002503","Other",0.069,319.539
"716","37021002503","White",0.93,4306.83
"717","37021002504","Asian",0,0
"718","37021002504","Black",0,0
"719","37021002504","Other",0.065,308.945
"720","37021002504","White",0.936,4448.808
"721","37021002505","Asian",0.021,128.163
"722","37021002505","Black",0.023,140.369
"723","37021002505","Other",0.101,616.403
"724","37021002505","White",0.855,5218.065
"725","37021002506","Asian",0,0
"726","37021002506","Black",0.128,435.072
"727","37021002506","Other",0.188,639.012
