"GEOID","percent","pop_size","race_ethnicity"
6047001503,0.809,3898,"latino"
6047001601,0.845,4086,"latino"
6047001603,0.718,2905,"latino"
6047001604,0.714,2742,"latino"
6047001700,0.574,4382,"latino"
6047001801,0.479,2915,"latino"
6047001901,0.882,4585,"latino"
6047001902,0.702,1582,"latino"
6047002001,0.677,924,"latino"
6047002002,0.588,4493,"latino"
6047002100,0.641,2494,"latino"
6047002201,0.749,5196,"latino"
6047002203,0.812,4512,"latino"
6047002204,0.868,5751,"latino"
6047002301,0.491,3989,"latino"
6047002303,0.639,4461,"latino"
6047002304,0.594,1364,"latino"
6047002305,0.824,3873,"latino"
6047002306,0.771,2507,"latino"
6047002401,0.604,864,"latino"
6047002403,0.71,1825,"latino"
6047002404,0.711,3241,"latino"
6047002500,0.455,1041,"latino"
6047002601,0.413,1001,"latino"
6047002602,0.35,1447,"latino"
6049000100,0.119,412,"latino"
6049000200,0.247,370,"latino"
6049000300,0.13,329,"latino"
6049000400,0.142,175,"latino"
6051000101,0.276,1090,"latino"
6051000102,0.094,190,"latino"
6051000201,0.352,1024,"latino"
6051000202,0.289,1275,"latino"
6053000101,0.717,1667,"latino"
6053000103,0.76,3297,"latino"
6053000104,0.704,2682,"latino"
6053000105,0.474,1550,"latino"
6053000106,0.795,5040,"latino"
6053000200,0.817,6457,"latino"
